sample_index,timestamp_local,timestamp_utc,elapsed_s,tick,tick_changed,node_count,node_ids,missing_nodes,estimated_persons,presence,motion_level,classification_confidence,mean_rssi,variance,motion_band_power,breathing_band_power,dominant_freq_hz,spectral_power,change_points,breathing_rate_bpm,breathing_confidence,heart_rate_bpm,heartbeat_confidence,signal_quality
0,2026-06-28T00:57:47+02:00,2026-06-27T22:57:47+00:00,0.0,8623,,4,1 2 3 4,,2,True,present_still,0.4948547917046996,-59.0,33.55200846939474,54.2507027722452,52.885031784349245,1.525,146.1875,5,12.136777292182911,0.3982766608946552,81.3112130603831,0.4568431272234994,0.35563832844873566
1,2026-06-28T00:57:48+02:00,2026-06-27T22:57:48+00:00,1.005,8649,True,4,1 2 3 4,,1,True,present_moving,0.438672672284243,-59.0,40.74926573785364,65.0781896664354,57.27265253435201,2.0625,144.66015625,7,14.241300228467537,0.3749797539208936,115.40815097427627,0.43584845201814876,0.40592331518565095
2,2026-06-28T00:57:49+02:00,2026-06-27T22:57:49+00:00,2.009,8686,True,4,1 2 3 4,,1,True,present_moving,0.5017918578260814,-60.0,42.32263241804929,65.75579805828475,60.197041611573354,2.0375,148.125,6,12.126299663023365,0.4157953516188846,74.93493547599626,0.6327130178109289,0.4501102839054
3,2026-06-28T00:57:50+02:00,2026-06-27T22:57:50+00:00,3.014,8721,True,4,1 2 3 4,,2,True,present_moving,0.4710794426846747,-58.0,38.72580651020795,60.266907671938846,61.16916480850074,2.1000000000000005,156.734375,6,11.409051597701511,0.3509697881088456,72.44852590849686,0.3837322111321223,0.5
4,2026-06-28T00:57:51+02:00,2026-06-27T22:57:51+00:00,4.017,8752,True,4,1 2 3 4,,1,True,present_moving,0.43681042144159465,-58.0,38.62573126323282,61.285573393875836,57.07406783706851,1.3,151.1953125,4,12.126299663023365,0.3931264124844781,74.93493547599626,0.6190641116363899,0.47632785419648005
5,2026-06-28T00:57:52+02:00,2026-06-27T22:57:52+00:00,5.018,8784,True,4,1 2 3 4,,1,True,present_moving,0.39539523155865125,-58.0,39.664487951241306,64.40512981108961,56.79606645102403,1.9250000000000003,160.61328125,6,12.126299663023365,0.38126596297980186,74.93493547599626,0.5670047394935531,0.4646577901573635
6,2026-06-28T00:57:53+02:00,2026-06-27T22:57:53+00:00,6.022,8826,True,4,1 2 3 4,,1,True,present_moving,0.47599636597118744,-57.0,40.84349159099051,66.18131470897049,56.269519455546885,1.425,158.59375,6,12.126299663023365,0.360468604530435,74.93493547599626,0.47097658515262486,0.4643753596872836
7,2026-06-28T00:57:54+02:00,2026-06-27T22:57:54+00:00,7.027,8863,True,4,1 2 3 4,,1,True,present_moving,0.3852310464273815,-58.0,36.44147355602629,59.10936295836481,52.51247571196731,2.8000000000000003,147.20703125,6,12.126299663023365,0.3441915547078564,74.93493547599626,0.44434724200560843,0.4964175563365285
8,2026-06-28T00:57:55+02:00,2026-06-27T22:57:55+00:00,8.029,8900,True,4,1 2 3 4,,1,True,present_moving,0.44074313161107914,-58.0,31.991842732328656,51.80374596704503,48.42250918260894,0.925,142.46484375,6,12.126299663023365,0.33674435355953414,74.93493547599626,0.4221255870566663,0.4859154301888071
9,2026-06-28T00:57:56+02:00,2026-06-27T22:57:56+00:00,9.03,8933,True,4,1 2 3 4,,1,True,present_moving,0.4180338072891264,-58.0,36.82493385016294,58.370787740570314,53.3790821874578,1.7000000000000002,141.76953125,7,12.997343514363191,0.3418375288019985,115.40815097427627,0.4530894388825999,0.5
10,2026-06-28T00:57:57+02:00,2026-06-27T22:57:57+00:00,10.035,8958,True,4,1 2 3 4,,1,True,present_moving,0.6232768806436887,-58.0,38.8671777058754,63.0917553342624,55.89248500734591,2.075,152.88671875,7,12.997343514363191,0.3571054610740477,115.40815097427627,0.4410448061575356,0.5
11,2026-06-28T00:57:58+02:00,2026-06-27T22:57:58+00:00,11.038,8979,True,4,1 2 3 4,,1,True,present_still,0.5706306321666181,-58.0,37.40740809206871,60.27486161304467,55.72636144876881,2.6875000000000004,151.7265625,5,13.168936848416797,0.43712483390894075,76.18434578995503,0.4198071200968581,0.2947399095871692
12,2026-06-28T00:57:59+02:00,2026-06-27T22:57:59+00:00,12.043,9013,True,4,1 2 3 4,,1,True,present_still,0.6449578155265357,-58.0,36.00605546791476,57.934008263339784,51.74061403816356,1.3000000000000003,144.7890625,5,13.28459870338913,0.4267892845164536,75.77387228296655,0.40032912093776707,0.2974425979189822
13,2026-06-28T00:58:00+02:00,2026-06-27T22:58:00+00:00,13.047,9039,True,4,1 2 3 4,,1,True,active,0.39855710629268243,-58.0,33.839198791560946,54.09741574055225,50.586449962566576,2.075,138.8125,8,11.184575371314832,0.476610135278084,72.44852590849686,0.4946376186085636,0.4595778101246474
14,2026-06-28T00:58:01+02:00,2026-06-27T22:58:01+00:00,14.052,9072,True,4,1 2 3 4,,2,True,present_moving,0.5060522388866453,-58.0,33.56983218393425,55.21445811347852,49.415301655650765,1.4625000000000004,139.7421875,7,12.997343514363191,0.37046267726651555,115.40815097427627,0.39676140081254024,0.5
15,2026-06-28T00:58:02+02:00,2026-06-27T22:58:02+00:00,15.057,9099,True,4,1 2 3 4,,1,True,present_still,0.5599309608852509,-58.0,37.148181672072354,61.10020740857106,55.23773277978488,2.2875000000000005,152.98046875,5,13.606137451385642,0.38583936083413206,74.67260795621358,0.3362900779389376,0.3003596600179367
16,2026-06-28T00:58:03+02:00,2026-06-27T22:58:03+00:00,16.062,9127,True,4,1 2 3 4,,1,True,present_still,0.5406737093078496,-58.0,36.02052788552163,58.90167868055079,53.96761620311545,2.0625000000000004,148.28515625,5,13.686414897549888,0.40687024982978154,74.55005587732043,0.3305164123176738,0.2818518773901846
17,2026-06-28T00:58:04+02:00,2026-06-27T22:58:04+00:00,17.067,9159,True,4,1 2 3 4,,1,True,present_moving,0.4623139665097747,-58.0,35.76933375486045,59.44107345468669,52.88339391134984,2.6875000000000004,149.828125,6,12.126299663023365,0.3335930647745224,74.93493547599626,0.4824062492302643,0.49046761907531233
18,2026-06-28T00:58:05+02:00,2026-06-27T22:58:05+00:00,18.072,9192,True,4,1 2 3 4,,1,True,present_still,0.5925834575265505,-58.0,35.29740121727949,57.44540423096676,51.88639636310585,1.2875,143.01171875,5,13.71749280514442,0.42591158077004604,74.55005587732043,0.3832019321834203,0.2991091447963
19,2026-06-28T00:58:06+02:00,2026-06-27T22:58:06+00:00,19.075,9230,True,4,1 2 3 4,,2,True,present_moving,0.5894940567517273,-58.0,39.209874928848265,62.942781172212335,58.9842344708361,1.275,161.11328125,7,12.997343514363191,0.45209239697048736,115.40815097427627,0.44909515429748414,0.5
20,2026-06-28T00:58:08+02:00,2026-06-27T22:58:08+00:00,20.078,9259,True,4,1 2 3 4,,1,True,present_still,0.6388460079118965,-58.0,36.62956272980997,59.69034372723381,53.27284651907493,1.5125000000000002,149.375,5,13.71749280514442,0.3831141624373498,74.55005587732043,0.40939672260527726,0.29027135702033047
21,2026-06-28T00:58:09+02:00,2026-06-27T22:58:09+00:00,21.08,9265,True,4,1 2 3 4,,2,True,present_still,0.6218863540357668,-58.0,39.586245646753284,63.40830692142481,58.734171797407036,1.2875,162.53515625,5,13.71749280514442,0.3772515903952368,74.55005587732043,0.3980022112282292,0.3039062176630837
22,2026-06-28T00:58:10+02:00,2026-06-27T22:58:10+00:00,22.086,9282,True,4,1 2 3 4,,2,True,present_moving,0.39986962573440216,-58.0,37.01675558839517,57.90779442762847,52.378129197558806,2.0500000000000003,142.94921875,9,12.84914125309839,0.44842303876101874,115.40815097427627,0.41665378158462485,0.5
23,2026-06-28T00:58:11+02:00,2026-06-27T22:58:11+00:00,23.091,9302,True,4,1 2 3 4,,1,True,present_still,0.6531931727016099,-58.0,39.32178844973429,61.86703560562191,55.87142921362295,1.4500000000000002,151.94140625,5,13.71749280514442,0.38028309349508466,74.55005587732043,0.39142051816606327,0.27457684832218265
24,2026-06-28T00:58:12+02:00,2026-06-27T22:58:12+00:00,24.093,9331,True,4,1 2 3 4,,1,True,active,0.39183930759608443,-58.0,37.591297358353565,60.047776225936815,54.63537602323263,2.0625000000000004,151.6640625,8,11.151602102311225,0.5589688794888253,72.44852590849686,0.41463460496576093,0.47767033443411977
25,2026-06-28T00:58:13+02:00,2026-06-27T22:58:13+00:00,25.098,9334,True,4,1 2 3 4,,2,True,present_moving,0.51069698427524,-58.0,36.270239562651284,59.054767109813874,52.2083941780909,2.6875000000000004,147.32421875,8,11.127621908438567,0.5561726681939442,72.44852590849686,0.4233766947049267,0.4691327126148228
26,2026-06-28T00:58:14+02:00,2026-06-27T22:58:14+00:00,26.101,9340,True,4,1 2 3 4,,2,True,present_moving,0.4657986406409858,-58.0,35.79866597531523,58.24482376592788,51.691679055699176,1.3,143.25390625,10,11.115435571991112,0.5547703394680601,72.44852590849686,0.4264584656046072,0.4591460347746642
27,2026-06-28T00:58:15+02:00,2026-06-27T22:58:15+00:00,27.105,9372,True,4,1 2 3 4,,1,True,present_moving,0.39827221616206987,-58.0,36.491130565705454,58.4370214579032,52.38218511735926,2.0500000000000003,144.8984375,6,12.126299663023365,0.3947477966326339,74.93493547599626,0.5137385848649305,0.48677003870448865
28,2026-06-28T00:58:16+02:00,2026-06-27T22:58:16+00:00,28.108,9407,True,4,1 2 3 4,,1,True,present_still,0.615920040591855,-58.0,35.6058933659227,56.24715135892541,51.64522945963242,0.7000000000000002,140.53125,5,13.71749280514442,0.39522050021696103,74.55005587732043,0.4243511889901199,0.2540132146751566
29,2026-06-28T00:58:17+02:00,2026-06-27T22:58:17+00:00,29.11,9430,True,4,1 2 3 4,,2,True,present_moving,0.579837949884155,-58.0,36.82180696420859,58.471651823895385,53.66187496662066,1.3,147.625,7,12.293502790962243,0.398443582113433,115.40815097427627,0.5590278258463969,0.5
30,2026-06-28T00:58:18+02:00,2026-06-27T22:58:18+00:00,30.115,9455,True,4,1 2 3 4,,,False,absent,0.41179385380161415,-65.0,35.8214770720183,54.1774265658951,49.102565573035974,1.7405405405405407,135.00717905405406,18,12.126299663023365,0.42732731743947155,74.93493547599626,0.4125019017486524,0.4797232523974593
31,2026-06-28T00:58:19+02:00,2026-06-27T22:58:19+00:00,31.12,9484,True,4,1 2 3 4,,2,True,present_moving,0.43022549891335626,-58.0,36.32950124723801,58.26125539844102,53.417949690541114,1.3,147.19921875,6,12.158712263912113,0.4188539958276821,74.93493547599626,0.39029107962606363,0.47044764612239964
32,2026-06-28T00:58:20+02:00,2026-06-27T22:58:20+00:00,32.121,9509,True,4,1 2 3 4,,2,True,present_moving,0.465431246824212,-58.0,42.84156725767248,68.04595782211634,59.88170428616243,0.7125000000000001,163.37890625,7,12.293502790962243,0.3862032455229956,115.40815097427627,0.41474772408065347,0.5
33,2026-06-28T00:58:21+02:00,2026-06-27T22:58:21+00:00,33.126,9532,True,4,1 2 3 4,,1,True,present_moving,0.5404338277426907,-58.0,35.51111053595535,57.77764529234242,50.58657404668679,0.925,142.34375,7,12.293502790962243,0.3687925542918452,115.40815097427627,0.3892420918025774,0.5
34,2026-06-28T00:58:22+02:00,2026-06-27T22:58:22+00:00,34.131,9543,True,4,1 2 3 4,,2,True,present_moving,0.4268213744489966,-58.0,36.96132297727938,59.9715185685343,53.028615316765176,1.6500000000000001,147.99609375,6,12.200299893234687,0.4035167901667516,74.93493547599626,0.43491994872462403,0.47857513614449587
35,2026-06-28T00:58:23+02:00,2026-06-27T22:58:23+00:00,35.136,9556,True,4,1 2 3 4,,2,True,present_moving,0.4915534805983346,-58.0,39.697692740702735,63.19427921197993,57.00165208083207,1.3,158.5859375,4,12.200299893234687,0.39689865476567954,74.93493547599626,0.41779534904437043,0.46947735644932576
36,2026-06-28T00:58:24+02:00,2026-06-27T22:58:24+00:00,36.141,9575,True,4,1 2 3 4,,2,True,active,0.45627578789076956,-65.0,36.484824620043874,56.540048211206376,49.704280534087296,0.887837837837838,140.49113175675677,14,12.200299893234687,0.4055120355981332,75.21247826094103,0.38490528474320257,0.48206118367717987
37,2026-06-28T00:58:25+02:00,2026-06-27T22:58:25+00:00,37.146,9595,True,4,1 2 3 4,,2,True,present_moving,0.5838698820425814,-58.0,38.3346389422615,60.46162710958859,54.02430089383679,1.3,152.73046875,7,12.293502790962243,0.331651453409749,115.40815097427627,0.48139397669911616,0.5
38,2026-06-28T00:58:26+02:00,2026-06-27T22:58:26+00:00,38.151,9613,True,4,1 2 3 4,,2,True,present_moving,0.44211908295164515,-58.0,37.327441029127286,58.87723810756859,54.36188106481977,1.2875,150.125,4,12.200299893234687,0.44852237163051945,77.10134001290504,0.4463251617271609,0.47036450970845967
39,2026-06-28T00:58:27+02:00,2026-06-27T22:58:27+00:00,39.156,9629,True,4,1 2 3 4,,2,True,present_moving,0.47170187610249953,-58.0,38.401791429421834,61.46084659277548,55.95987746256759,0.7125000000000001,156.12890625,8,12.200299893234687,0.4445390070705699,77.77018434084606,0.48199441243051927,0.5
