sample_index,timestamp_local,timestamp_utc,elapsed_s,tick,tick_changed,node_count,node_ids,missing_nodes,estimated_persons,presence,motion_level,classification_confidence,mean_rssi,variance,motion_band_power,breathing_band_power,dominant_freq_hz,spectral_power,change_points,breathing_rate_bpm,breathing_confidence,heart_rate_bpm,heartbeat_confidence,signal_quality
0,2026-06-28T01:08:32+02:00,2026-06-27T23:08:32+00:00,0.0,29422,,4,1 2 3 4,,1,True,present_moving,0.44761918395853917,-58.0,42.35214040934868,62.35229917696101,64.86145830289986,2.1125000000000003,169.5546875,5,11.379210564001887,0.29857119305351776,55.68261065874757,0.5290912463935923,0.5
1,2026-06-28T01:08:33+02:00,2026-06-27T23:08:33+00:00,1.005,29458,True,4,1 2 3 4,,1,True,present_moving,0.4620423066353265,-59.0,39.048870709590446,60.30963915720455,61.033425176516786,1.9625000000000004,152.1015625,5,14.667803387343401,0.4697459636398399,104.89899560515461,0.4057000668778405,0.409552223120939
2,2026-06-28T01:08:34+02:00,2026-06-27T23:08:34+00:00,2.01,29499,True,4,1 2 3 4,,1,True,present_still,0.4355411206368375,-59.0,39.37455342568963,61.3922848556844,60.34042249377683,1.5750000000000002,165.19921875,5,9.28424061326985,0.3857404638086876,65.4139742294015,0.457940610972589,0.34843481019057
3,2026-06-28T01:08:35+02:00,2026-06-27T23:08:35+00:00,3.015,29537,True,4,1 2 3 4,,1,True,present_still,0.45462326864231883,-59.0,39.061125362133915,57.12938481016893,62.209643016701776,1.5499999999999998,151.53515625,5,9.429386747313139,0.4000634851424008,65.4139742294015,0.431562637642961,0.30450347429524205
4,2026-06-28T01:08:36+02:00,2026-06-27T23:08:36+00:00,4.02,29568,True,4,1 2 3 4,,2,True,present_moving,0.38030582831513093,-58.0,37.54708481938814,54.18278905309743,60.179573023839325,1.5625,152.70703125,5,11.379210564001887,0.2683308711652365,55.68261065874757,0.8600802064027161,0.5
5,2026-06-28T01:08:37+02:00,2026-06-27T23:08:37+00:00,5.022,29607,True,4,1 2 3 4,,1,True,present_moving,0.62328724748812,-59.0,37.664443989669465,58.411661520855134,60.50130748249957,1.3250000000000002,159.703125,3,14.667803387343401,0.4246422968014146,104.04080821440834,0.41350911975340915,0.5
6,2026-06-28T01:08:38+02:00,2026-06-27T23:08:38+00:00,6.022,29648,True,4,1 2 3 4,,1,True,present_moving,0.6595258549479157,-59.0,37.01637797644668,57.47892081430527,58.66431241748627,1.5125000000000002,162.13671875,3,14.667803387343401,0.45080788105056807,104.04080821440834,0.4236634868818674,0.5
7,2026-06-28T01:08:39+02:00,2026-06-27T23:08:39+00:00,7.027,29687,True,4,1 2 3 4,,1,True,present_still,0.5953892159309436,-59.0,42.50309120508493,64.82953518985379,65.44187405076647,2.1375,173.05078125,5,10.318593132063752,0.4308018813226901,65.4139742294015,0.38913544176069037,0.301311687758815
8,2026-06-28T01:08:40+02:00,2026-06-27T23:08:40+00:00,8.032,29721,True,4,1 2 3 4,,1,True,present_still,0.46933599545875426,-59.0,36.17172418565686,55.536374077828796,57.383291164322664,1.6125,153.99609375,5,10.409206108998125,0.4348483018923132,65.4139742294015,0.3712346859644871,0.3195946982830252
9,2026-06-28T01:08:41+02:00,2026-06-27T23:08:41+00:00,9.037,29758,True,4,1 2 3 4,,1,True,present_still,0.5071938016247444,-58.0,40.18053279667347,60.33716227617096,61.86572120391526,1.5750000000000002,168.17578125,6,11.379210564001887,0.2133827004366732,55.68261065874757,0.4609019305809505,0.5
10,2026-06-28T01:08:42+02:00,2026-06-27T23:08:42+00:00,10.042,29794,True,4,1 2 3 4,,1,True,present_still,0.5229102942018466,-58.0,37.78860513657946,56.99453257276982,60.21109622360034,2.1750000000000003,159.88671875,5,10.311026381500602,0.401730087973019,65.4139742294015,0.38421045169714196,0.3285617293692431
11,2026-06-28T01:08:43+02:00,2026-06-27T23:08:43+00:00,11.046,29831,True,4,1 2 3 4,,1,True,present_moving,0.4074006361489726,-58.0,36.83941182177901,57.62284215232003,57.58532897579637,1.4125,158.26171875,5,11.379210564001887,0.23458692979226098,55.68261065874757,0.42935896751739416,0.5
12,2026-06-28T01:08:44+02:00,2026-06-27T23:08:44+00:00,12.051,29869,True,4,1 2 3 4,,1,True,present_still,0.4020324347002638,-58.0,35.152816565057876,53.238731342266526,55.423433827531944,1.5500000000000003,148.6328125,6,11.379210564001887,0.2506307098766961,55.68261065874757,0.39063055293808274,0.5
13,2026-06-28T01:08:45+02:00,2026-06-27T23:08:45+00:00,13.055,29909,True,4,1 2 3 4,,1,True,present_still,0.4920436774127209,-58.0,41.27745317734352,61.83994893296745,66.48621162047397,2.1500000000000004,175.484375,5,10.290636684671894,0.4041558810409791,65.4139742294015,0.46632224078781515,0.30580048268076
14,2026-06-28T01:08:46+02:00,2026-06-27T23:08:46+00:00,14.059,29946,True,4,1 2 3 4,,1,True,present_still,0.4234721636098225,-58.0,39.67427310620683,60.9747914101507,64.38337731068208,2.1875,175.2421875,5,11.379210564001887,0.2904360587854168,55.68261065874757,0.39621631914267075,0.5
15,2026-06-28T01:08:47+02:00,2026-06-27T23:08:47+00:00,15.064,29980,True,4,1 2 3 4,,1,True,present_still,0.5061560632903882,-58.0,38.896999245354046,58.572109587897785,60.99261424771983,2.1625,164.8046875,5,10.290636684671894,0.4079402982172528,65.4139742294015,0.42162156272594237,0.3533546935073971
16,2026-06-28T01:08:48+02:00,2026-06-27T23:08:48+00:00,16.069,30018,True,4,1 2 3 4,,1,True,present_moving,0.43322041307585457,-58.0,36.22323830665357,53.97957037810853,57.21473822651977,1.5875,150.171875,6,17.294564214113194,0.4741113195455636,99.35546430176427,0.38705561461621607,0.4589949405717486
17,2026-06-28T01:08:49+02:00,2026-06-27T23:08:49+00:00,17.074,30048,True,4,1 2 3 4,,1,True,present_still,0.404273216652842,-58.0,38.07680683102895,57.12303608866696,59.53938640315128,2.1750000000000003,158.67578125,6,11.379210564001887,0.2326059573187983,55.68261065874757,0.39541624133783027,0.5
18,2026-06-28T01:08:50+02:00,2026-06-27T23:08:50+00:00,18.079,30087,True,4,1 2 3 4,,1,True,present_still,0.5289788252608493,-58.0,36.77843941169014,55.85522073186898,56.50365255839962,2.1875,152.51171875,5,10.38019176922104,0.37519306667528685,65.4139742294015,0.3649161346807563,0.33319860285451985
