sample_index,timestamp_local,timestamp_utc,elapsed_s,tick,tick_changed,node_count,node_ids,missing_nodes,estimated_persons,presence,motion_level,classification_confidence,mean_rssi,variance,motion_band_power,breathing_band_power,dominant_freq_hz,spectral_power,change_points,breathing_rate_bpm,breathing_confidence,heart_rate_bpm,heartbeat_confidence,signal_quality
0,2026-06-28T01:24:12+02:00,2026-06-27T23:24:12+00:00,0.0,2149,,4,1 2 3 4,,1,True,present_still,0.5099517167348897,-59.0,40.0406929884774,60.33875027176453,63.81640558339686,2.15,166.65234375,3,9.375,0.4502969050398476,56.25,0.45093573445165297,0.30014856672871015
1,2026-06-28T01:24:13+02:00,2026-06-27T23:24:13+00:00,1.005,2189,True,4,1 2 3 4,,1,True,present_still,0.6059805811049711,-59.0,43.55207633203522,63.71312958563924,66.81220128840776,2.1750000000000003,170.98828125,5,9.375,0.409553954544373,56.25,0.4389197395174675,0.30032553271026297
2,2026-06-28T01:24:14+02:00,2026-06-27T23:24:14+00:00,2.01,2224,True,4,1 2 3 4,,1,True,present_still,0.4446355637511613,-59.0,36.4031986252983,56.398385424770275,58.496504912889826,2.1750000000000003,151.6171875,5,9.375,0.3783424177144125,56.25,0.4113928582516229,0.3744935466025424
3,2026-06-28T01:24:15+02:00,2026-06-27T23:24:15+00:00,3.015,2257,True,4,1 2 3 4,,1,True,present_still,0.47966711860788813,-59.0,34.63284390869332,55.2181218134079,57.25199154917185,2.1625,162.51953125,5,9.375,0.3989009035649277,56.25,0.43079879594144943,0.39909786505051625
4,2026-06-28T01:24:16+02:00,2026-06-27T23:24:16+00:00,4.02,2297,True,4,1 2 3 4,,1,True,present_still,0.3625080229542854,-58.0,34.71644056964469,54.15960478153038,55.46941597662725,2.125,149.6640625,7,10.138866149603308,0.2696440234640035,62.69161677633345,0.46618136506816577,0.4683298721455387
5,2026-06-28T01:24:17+02:00,2026-06-27T23:24:17+00:00,5.025,2331,True,4,1 2 3 4,,1,True,present_moving,0.4662790063255312,-58.0,38.289783580231294,59.7441989633554,59.859911660360495,2.1750000000000003,161.9375,3,10.03568345732479,0.33853495563496544,62.69161677633345,0.4290526622251123,0.5
6,2026-06-28T01:24:18+02:00,2026-06-27T23:24:18+00:00,6.03,2366,True,4,1 2 3 4,,1,True,present_still,0.6048741327222013,-58.0,43.441875937493904,67.06534532033896,66.90629704067801,2.1750000000000003,174.28125,5,9.375,0.34699828756289813,56.25,0.47472730870975394,0.3443255810723631
7,2026-06-28T01:24:19+02:00,2026-06-27T23:24:19+00:00,7.035,2404,True,4,1 2 3 4,,1,True,present_moving,0.656404137902102,-59.0,34.92344446702185,54.760069541105935,53.69873925042798,2.1500000000000004,148.30859375,1,9.375,0.4720196189488698,92.56715904158371,0.4106615084591724,0.5
8,2026-06-28T01:24:20+02:00,2026-06-27T23:24:20+00:00,8.036,2439,True,4,1 2 3 4,,1,True,present_moving,0.3825174315872165,-58.0,37.26723822541216,59.464210694707056,61.07078571528703,1.5375,173.90625,6,9.851659789377003,0.3391270072061445,76.2200284604546,0.44835822509366696,0.43255465698517537
9,2026-06-28T01:24:21+02:00,2026-06-27T23:24:21+00:00,9.041,2475,True,4,1 2 3 4,,1,True,present_moving,0.4515594310909731,-59.0,43.90869158071145,63.062623039772,66.65795673529956,1.9625000000000001,156.36328125,5,9.613395508409699,0.413003989641686,62.69161677633345,0.43903130140422597,0.5
10,2026-06-28T01:24:22+02:00,2026-06-27T23:24:22+00:00,10.042,2515,True,4,1 2 3 4,,1,True,present_moving,0.4321159243241124,-59.0,40.6882192951842,60.220476402524625,60.75446944447123,2.1875,157.41796875,5,9.468543086990111,0.4042409996806864,62.69161677633345,0.4416114144508774,0.5
11,2026-06-28T01:24:23+02:00,2026-06-27T23:24:23+00:00,11.044,2550,True,4,1 2 3 4,,1,True,present_still,0.6072867575096993,-59.0,42.119791361236835,60.563834271555976,62.006592175416266,1.3375000000000001,148.3203125,5,9.375,0.40876645283308255,56.25,0.3802613340089974,0.20733069685933392
12,2026-06-28T01:24:24+02:00,2026-06-27T23:24:24+00:00,12.046,2589,True,4,1 2 3 4,,1,True,present_still,0.4047108392418623,-59.0,43.97402154628703,67.98063226846494,64.90943535737799,1.35,168.640625,5,9.13654191966476,0.35212567496116204,62.69161677633345,0.42609113109993796,0.4935434182877846
