sample_index,timestamp_local,timestamp_utc,elapsed_s,tick,tick_changed,node_count,node_ids,missing_nodes,estimated_persons,presence,motion_level,classification_confidence,mean_rssi,variance,motion_band_power,breathing_band_power,dominant_freq_hz,spectral_power,change_points,breathing_rate_bpm,breathing_confidence,heart_rate_bpm,heartbeat_confidence,signal_quality
0,2026-06-28T01:32:32+02:00,2026-06-27T23:32:32+00:00,0.0,970,,4,1 2 3 4,,1,True,present_moving,0.423346914416345,-61.0,45.94149124615496,64.08179752240571,71.9498998865003,1.9875,167.5234375,9,9.375,0.41746160938757937,106.160175392315,0.42374780124419514,0.4078823718143864
1,2026-06-28T01:32:33+02:00,2026-06-27T23:32:33+00:00,1.005,1008,True,4,1 2 3 4,,1,True,present_moving,0.5702196562778992,-61.0,46.716939091668465,68.8468581611805,73.55455831536176,1.3375,183.73046875,5,9.42800825913626,0.3498609591311777,55.633408178200746,0.46035524387688254,0.4141897894368054
2,2026-06-28T01:32:34+02:00,2026-06-27T23:32:34+00:00,2.005,1039,True,4,1 2 3 4,,1,True,present_still,0.43001371132460625,-63.0,37.69359961140913,56.69552752147036,64.66514501847932,1.6500000000000001,166.5703125,7,9.375,0.40377313588719715,96.46355587331523,0.37882695578304587,0.35936188227766047
3,2026-06-28T01:32:35+02:00,2026-06-27T23:32:35+00:00,3.01,1079,True,4,1 2 3 4,,1,True,present_still,0.8343958429479942,-62.0,55.47851952881477,74.51298723245813,86.34229989295604,1.35,199.62890625,6,9.375,0.42568995398189424,96.46355587331523,0.4037118933942315,0.23507246695251058
4,2026-06-28T01:32:36+02:00,2026-06-27T23:32:36+00:00,4.014,1115,True,4,1 2 3 4,,1,True,present_still,0.6104805392285124,-62.0,39.62590146175523,60.96247904539764,65.65875327933281,1.3625,169.6484375,4,9.375,0.4538381592944253,96.46355587331523,0.4078928522142331,0.2628572115810719
5,2026-06-28T01:32:37+02:00,2026-06-27T23:32:37+00:00,5.019,1155,True,4,1 2 3 4,,1,True,present_still,0.6590295392771692,-62.0,40.7732824391471,65.36309485927822,72.0268709149392,1.975,196.58203125,6,9.375,0.4779413980784365,96.46355587331523,0.4315818960769808,0.46050247812742606
6,2026-06-28T01:32:38+02:00,2026-06-27T23:32:38+00:00,6.022,1187,True,4,1 2 3 4,,1,True,present_moving,0.5324606418500096,-62.0,34.27081325567726,52.752813081664485,64.35065240746675,1.3,177.92578125,4,9.375,0.48870968444343493,96.46355587331523,0.4178993220686302,0.486
7,2026-06-28T01:32:39+02:00,2026-06-27T23:32:39+00:00,7.027,1223,True,4,1 2 3 4,,1,True,active,0.3780675360307084,-62.0,34.46987772068554,53.980102861474094,61.137461656489,1.2875,163.0859375,6,9.375,0.47919786212335813,96.46355587331523,0.41739350378325907,0.4668956879129064
8,2026-06-28T01:32:40+02:00,2026-06-27T23:32:40+00:00,8.029,1263,True,4,1 2 3 4,,1,True,present_still,0.5627479486480029,-62.0,40.19996543994602,64.16765455093814,67.94796416921017,1.3625,187.30859375,6,9.375,0.4477792940321045,96.46355587331523,0.42020415136026945,0.41222288834578624
9,2026-06-28T01:32:41+02:00,2026-06-27T23:32:41+00:00,9.034,1302,True,4,1 2 3 4,,1,True,present_moving,0.3760066100960494,-62.0,30.21737041192029,47.31709645850165,55.41756000707843,1.2750000000000001,146.921875,7,9.375,0.4042477722058095,106.160175392315,0.4450092045361211,0.5
10,2026-06-28T01:32:42+02:00,2026-06-27T23:32:42+00:00,10.038,1338,True,4,1 2 3 4,,1,True,present_still,0.6487980789496912,-61.0,40.33740651683834,58.367484796761076,65.70245349440577,1.175,166.421875,4,9.375,0.3767173974912254,96.46355587331523,0.41073671642960996,0.19547013778386702
11,2026-06-28T01:32:43+02:00,2026-06-27T23:32:43+00:00,11.043,1377,True,4,1 2 3 4,,1,True,present_moving,0.6031761351540776,-62.0,39.554026981048224,59.60088631555613,66.39236085765529,1.3625,174.33984375,7,9.42800825913626,0.42092052789260725,54.906661158019446,0.3939703429680242,0.5
12,2026-06-28T01:32:44+02:00,2026-06-27T23:32:44+00:00,12.048,1410,True,4,1 2 3 4,,1,True,present_still,0.6266330230857824,-61.0,37.46917028554007,51.40286698247921,61.89890157429616,1.3250000000000002,149.63671875,4,9.375,0.4345308983476822,97.26803593712367,0.41434692507214294,0.28181317036693354
13,2026-06-28T01:32:45+02:00,2026-06-27T23:32:45+00:00,13.053,1449,True,4,1 2 3 4,,1,True,present_still,0.7649761442689418,-61.0,43.5229543629299,61.406181383377486,71.83773805028935,1.3625,188.37890625,4,9.375,0.4255385835671573,97.94806021146245,0.41682222460005247,0.35715793175193633
14,2026-06-28T01:32:46+02:00,2026-06-27T23:32:46+00:00,14.058,1489,True,4,1 2 3 4,,1,True,present_moving,0.6365093221035272,-62.0,43.839734059652685,61.87468653898536,72.07609674693806,1.3,180.40625,5,9.42800825913626,0.3526968882354776,54.906661158019446,0.5569211094726915,0.5
15,2026-06-28T01:32:47+02:00,2026-06-27T23:32:47+00:00,15.06,1525,True,4,1 2 3 4,,1,True,present_moving,0.5103370470827471,-62.0,41.25069943847531,60.84929220875261,68.36658564645244,1.9874999999999998,175.87890625,7,9.42800825913626,0.3566337817884791,54.906661158019446,0.5580119175407178,0.49410441389168613
16,2026-06-28T01:32:48+02:00,2026-06-27T23:32:48+00:00,16.062,1565,True,4,1 2 3 4,,1,True,present_still,0.4340232715013907,-62.0,39.01114532295533,55.862245603924194,66.29336051781763,1.6875,155.72265625,6,9.375,0.35704348582496187,99.38185781394456,0.41197452346900754,0.2936858351881565
17,2026-06-28T01:32:49+02:00,2026-06-27T23:32:49+00:00,17.063,1605,True,4,1 2 3 4,,1,True,present_still,0.7514954333073071,-62.0,47.46234786554058,70.23353300909778,74.73151839107418,0.9500000000000001,180.0859375,4,9.375,0.351548584277259,99.38185781394456,0.4066180500897305,0.21961392992155515
18,2026-06-28T01:32:50+02:00,2026-06-27T23:32:50+00:00,18.066,1640,True,4,1 2 3 4,,1,True,present_still,0.5367645227528538,-62.0,39.69088831788288,59.981429065827086,64.28938772401153,1.25,162.2734375,4,9.375,0.3475678254290061,99.38185781394456,0.43460127722838054,0.1996594191420722
19,2026-06-28T01:32:51+02:00,2026-06-27T23:32:51+00:00,19.071,1676,True,4,1 2 3 4,,1,True,present_still,0.47835564232981687,-62.0,39.48930737536895,61.80501168138508,70.23658992602999,1.9500000000000002,179.79296875,4,9.375,0.3207373259715491,99.38185781394456,0.4715463393095847,0.44151020794045737
20,2026-06-28T01:32:52+02:00,2026-06-27T23:32:52+00:00,20.073,1715,True,4,1 2 3 4,,1,True,present_moving,0.5689750326171694,-62.0,46.32901066940148,68.08433698356887,77.22605180450174,1.3625,183.31640625,5,9.42800825913626,0.4349946843962901,54.906661158019446,0.4731078693758225,0.5
21,2026-06-28T01:32:53+02:00,2026-06-27T23:32:53+00:00,21.078,1751,True,4,1 2 3 4,,1,True,present_moving,0.4986214059911035,-62.0,33.94420154889664,54.6501102749163,61.65900949776768,1.4,170.20703125,2,9.375,0.27724169624530404,99.38185781394456,0.4564359779543878,0.5
22,2026-06-28T01:32:54+02:00,2026-06-27T23:32:54+00:00,22.08,1788,True,4,1 2 3 4,,1,True,present_moving,0.4684133712092755,-61.0,33.881807293503925,55.62708628711201,62.46381916586415,0.7375,173.63671875,4,9.375,0.2734285364474227,99.38185781394456,0.41032014413365714,0.5
23,2026-06-28T01:32:55+02:00,2026-06-27T23:32:55+00:00,23.085,1807,True,4,1 2 3 4,,1,True,present_still,0.4958069189977569,-62.0,36.31314166459639,56.75140355467525,62.516764190954575,1.2750000000000001,166.7734375,2,9.375,0.2714152294878598,99.38185781394456,0.4280835691548891,0.4605103634986498
24,2026-06-28T01:32:56+02:00,2026-06-27T23:32:56+00:00,24.087,1841,True,4,1 2 3 4,,1,True,present_moving,0.5938183295462525,-61.0,30.643489413745755,48.219281058409656,60.211993889093264,1.6125,163.36328125,6,9.375,0.26578864134352165,99.38185781394456,0.4431219485135272,0.5
25,2026-06-28T01:32:57+02:00,2026-06-27T23:32:57+00:00,25.09,1877,True,4,1 2 3 4,,1,True,present_still,0.4919448437331996,-62.0,38.37483297819724,60.85245574221195,63.23244885107485,1.6500000000000001,167.140625,3,9.375,0.26258282059441246,99.38185781394456,0.41075628080461846,0.34535371001005477
26,2026-06-28T01:32:58+02:00,2026-06-27T23:32:58+00:00,26.092,1916,True,4,1 2 3 4,,1,True,present_still,0.5886662605363397,-62.0,39.83140828419058,61.082097512511396,70.49489829444146,1.3625,190.34375,6,9.375,0.277737552778759,99.38185781394456,0.37744382688744904,0.49654319999946195
27,2026-06-28T01:32:59+02:00,2026-06-27T23:32:59+00:00,27.095,1947,True,4,1 2 3 4,,1,True,present_moving,0.6177300615865087,-62.0,34.696676225321504,53.361511484251665,63.181067952867245,1.35,181.2578125,3,11.085274769121076,0.3720657371736511,106.160175392315,0.4707361913855468,0.5
28,2026-06-28T01:33:00+02:00,2026-06-27T23:33:00+00:00,28.096,1984,True,4,1 2 3 4,,1,True,present_still,0.5792469246289165,-61.0,44.58998127085158,68.25024895578431,71.13002841389701,0.7625000000000001,174.1171875,4,8.983455523589758,0.3394412941945428,99.38185781394456,0.40598112064107195,0.13944850481723803
29,2026-06-28T01:33:01+02:00,2026-06-27T23:33:01+00:00,29.096,2024,True,4,1 2 3 4,,1,True,present_still,0.6867977300806497,-62.0,40.282874124698075,60.21565759396093,63.10539719881525,2.0125,172.6640625,4,8.754943944191643,0.3612515446594995,99.38185781394456,0.41077481408291544,0.3220610922812216
30,2026-06-28T01:33:02+02:00,2026-06-27T23:33:02+00:00,30.099,2064,True,4,1 2 3 4,,1,True,present_still,0.6441090262089986,-61.0,41.1711190580557,59.11146214691061,65.05243552763159,1.3,160.78515625,4,8.564613627038472,0.37550265933343374,99.73087744544777,0.41282997272632227,0.2497130473100987
31,2026-06-28T01:33:03+02:00,2026-06-27T23:33:03+00:00,31.104,2096,True,4,1 2 3 4,,1,True,present_still,0.4669719194937049,-62.0,39.66500944540364,62.88586303839972,66.14325625317656,1.375,182.75390625,2,8.382421982187532,0.39947941016780364,100.38484848282877,0.44135615683606366,0.4354734305855158
32,2026-06-28T01:33:04+02:00,2026-06-27T23:33:04+00:00,32.109,2136,True,4,1 2 3 4,,1,True,present_moving,0.6632210667901277,-62.0,49.46519911325217,69.55469153295384,78.5354222906423,1.3250000000000002,192.79296875,5,9.42800825913626,0.3907268713344836,54.906661158019446,0.46884748697497824,0.5
33,2026-06-28T01:33:05+02:00,2026-06-27T23:33:05+00:00,33.114,2172,True,4,1 2 3 4,,1,True,active,0.36177717452852304,-62.0,33.79192881999125,53.93210426468439,60.18797300108905,1.2875,168.73828125,4,7.952453128974848,0.3932025546126937,101.62886892680854,0.4103293743030292,0.4461180272482962
34,2026-06-28T01:33:06+02:00,2026-06-27T23:33:06+00:00,34.119,2210,True,4,1 2 3 4,,1,True,active,0.5417852977598625,-62.0,26.84973957414424,40.48957001957968,44.60301100247333,1.2625,121.4453125,6,7.799301047250071,0.3839248140706138,101.71331961883408,0.42591820076176373,0.14941679018382503
35,2026-06-28T01:33:07+02:00,2026-06-27T23:33:07+00:00,35.124,2249,True,4,1 2 3 4,,1,True,present_moving,0.5880482580174813,-62.0,45.96693552192467,63.093976358750254,71.3350869004276,1.3250000000000002,177.1875,7,9.42800825913626,0.4286969896157906,54.906661158019446,0.3957775733957096,0.5
36,2026-06-28T01:33:08+02:00,2026-06-27T23:33:08+00:00,36.129,2273,True,4,1 2 3 4,,1,True,present_moving,0.6766701019503231,-62.0,29.67686254838082,47.724981069441405,59.25227051529518,1.7000000000000002,156.75390625,5,9.42800825913626,0.43769431002270887,54.906661158019446,0.4142540257534185,0.5
37,2026-06-28T01:33:09+02:00,2026-06-27T23:33:09+00:00,37.134,2310,True,4,1 2 3 4,,1,True,present_still,0.4270077494410482,-61.0,40.37860108844694,62.49833428012898,71.24150326679549,1.6125,186.2421875,4,7.523701824585378,0.4074424361754634,101.71331961883408,0.43218428374947254,0.3946719518193925
38,2026-06-28T01:33:10+02:00,2026-06-27T23:33:10+00:00,38.139,2342,True,4,1 2 3 4,,1,True,present_moving,0.6471391760843078,-61.0,38.31775361009932,56.66314465548851,68.16653772436067,1.3250000000000002,172.14453125,8,9.375,0.40434694211378297,86.48748342673126,0.3884938771006461,0.5
39,2026-06-28T01:33:11+02:00,2026-06-27T23:33:11+00:00,39.144,2382,True,4,1 2 3 4,,1,True,present_still,0.6383517764272117,-61.0,39.63602261336874,56.24558951240266,66.66437618963263,0.6875,172.5703125,2,7.523701824585378,0.36925475784456185,100.9599492387045,0.48983346873410977,0.3884964824952699
40,2026-06-28T01:33:12+02:00,2026-06-27T23:33:12+00:00,40.149,2414,True,4,1 2 3 4,,1,True,present_moving,0.5795101633466836,-62.0,36.570857314401835,62.34085647421028,67.3906295334086,0.7500000000000001,190.80859375,5,9.42800825913626,0.41807173049929375,54.906661158019446,0.4548030777508072,0.5
41,2026-06-28T01:33:13+02:00,2026-06-27T23:33:13+00:00,41.154,2454,True,4,1 2 3 4,,1,True,present_moving,0.5407370780397553,-61.0,35.139083639244404,56.704833077168345,62.50458361862334,0.85,175.921875,4,7.523701824585378,0.44004268895510246,100.26676434083849,0.45361364390174774,0.5
42,2026-06-28T01:33:14+02:00,2026-06-27T23:33:14+00:00,42.159,2494,True,4,1 2 3 4,,1,True,present_still,0.5972563051021825,-62.0,39.54658400911663,61.05857379076725,64.5700870540962,1.375,179.28125,2,7.523701824585378,0.45348502985846645,99.86313733951266,0.42443316354886523,0.3996252032173029
43,2026-06-28T01:33:15+02:00,2026-06-27T23:33:15+00:00,43.161,2530,True,4,1 2 3 4,,1,True,present_moving,0.420698771093561,-62.0,37.49937003333517,60.19847349406356,61.72702395230793,1.35,171.48046875,2,7.523701824585378,0.45255922480868427,99.7816406398935,0.4030575009085805,0.40312589676405586
44,2026-06-28T01:33:16+02:00,2026-06-27T23:33:16+00:00,44.166,2562,True,4,1 2 3 4,,1,True,present_still,0.6014178238553053,-62.0,45.202541768925215,66.6542213853441,71.51477313453645,1.2125000000000001,175.92578125,4,7.523701824585378,0.43936018745552785,99.7816406398935,0.3891556179001758,0.24324497285046143
45,2026-06-28T01:33:17+02:00,2026-06-27T23:33:17+00:00,45.171,2594,True,4,1 2 3 4,,1,True,present_moving,0.4576913885581768,-62.0,37.48584490634947,60.71149495574111,68.30081114896103,1.2249999999999999,178.859375,6,7.523701824585378,0.4309619744476386,99.7816406398935,0.3690376219538635,0.49305230742349726
