phase,recording_id,condition,role,evidence_class,status,incomplete,server_version,planned_duration_s,actual_duration_s,valid_samples_or_frames,stored_rate_hz,required_files_present,errors_or_writer_error,dropped_frames,all_rx_present,stale_observations,invalid_sync_observations,global_positive_count,global_positive_pct,rx1_positive_count,rx1_positive_pct,rx2_positive_count,rx2_positive_pct,rx3_positive_count,rx3_positive_pct,rx4_positive_count,rx4_positive_pct,csi_grid_or_api_raster,setup_id,setup_sha256,tx_filter_sha256,raw_matches_metadata,timestamp_duplicates,timestamp_regressions,max_interframe_gap_ms,gaps_over_500ms,notes,source_path
A/G historical,A0_leerer_raum,empty,historical technical only,historical_only,,,,60.0,59.239,60,1.0128,True,,,True,2,0,58,96.667,17,28.333,60,100.0,60,100.0,60,100.0,0/0:60;64/56:180,,,,,,,,,"Raum leer, 4 RX aktiv",wifi-csi-dokumentation/data/raw/2026-06-28_00-57-47_A0_leerer_raum
A/G historical,A1_person_steht_mitte,person,historical technical only,historical_only,,,,60.0,59.248,60,1.0127,True,,,True,0,0,55,91.667,27,45.0,51,85.0,60,100.0,60,100.0,0/0:20;64/56:220,,,,,,,,,Eine Person steht ruhig in der Mitte,wifi-csi-dokumentation/data/raw/2026-06-28_01-05-06_A1_person_steht_mitte
A/G historical,A2_person_laeuft,person,historical technical only,historical_only,,,,60.0,59.259,60,1.0125,True,,,True,0,0,60,100.0,39,65.0,57,95.0,60,100.0,60,100.0,0/0:8;64/56:232,,,,,,,,,Eine Person läuft langsam durch den Raum,wifi-csi-dokumentation/data/raw/2026-06-28_01-07-19_A2_person_laeuft
A/G historical,A3_atmung_sitzend,person,historical technical only,historical_only,,,,180.0,179.742,180,1.0014,True,,,True,0,0,173,96.111,0,0.0,66,36.667,180,100.0,180,100.0,0/0:44;64/56:676,,,,,,,,,Eine Person sitzt ruhig und atmet normal,wifi-csi-dokumentation/data/raw/2026-06-28_01-08-32_A3_atmung_sitzend
A/G historical,G1_guard500ms_person_laeuft,person,historical technical only,historical_only,,,,60.0,59.217,60,1.0132,True,,,True,0,0,59,98.333,60,100.0,60,100.0,60,100.0,60,100.0,0/0:16;64/56:224,,,,,,,,,"Guard 500ms hard / 200ms soft, Person läuft langsam, Test der stabileren Visualisierung",wifi-csi-dokumentation/data/raw/2026-06-28_01-24-12_G1_guard500ms_person_laeuft
A/G historical,G2_guard500ms_rx_besser_verteilt_person_laeuft,person,historical technical only,historical_only,,,,60.0,59.226,60,1.0131,True,,,True,0,0,60,100.0,60,100.0,60,100.0,60,100.0,60,100.0,0/0:8;64/56:232,,,,,,,,,"RX-Module besser im Raum verteilt, Guard 500ms hard / 200ms soft, Person läuft langsam",wifi-csi-dokumentation/data/raw/2026-06-28_01-32-32_G2_guard500ms_rx_besser_verteilt_person_laeuft
A/G historical,G2_empty_rx_besser_verteilt,empty,historical technical only,historical_only,,,,60.0,59.25,60,1.0127,True,,,True,0,0,60,100.0,60,100.0,60,100.0,60,100.0,60,100.0,0/0:4;64/56:236,,,,,,,,,"RX-Module besser im Raum verteilt, leerer Raum, Guard 500ms hard / 200ms soft",wifi-csi-dokumentation/data/raw/2026-06-28_01-34-01_G2_empty_rx_besser_verteilt
pre-D4,A0_leerer_raum_fortlaufend,empty,historical technical only,historical_only,,,,3600.0,89.146,352,3.9486,True,,,True,0,0,352,100.0,213,60.511,338,96.023,352,100.0,352,100.0,0/0:1400;128/56:8,,,,,,,,,Kontrollmessung leerer Raum; Ende bei Rueckkehr der Person,wifi-csi-dokumentation/data/raw/2026-07-26_19-31-37_A0_leerer_raum_fortlaufend
pre-D4,A1_person_sitzt_still_mitte,person,historical technical only,historical_only,,,,60.0,59.984,237,3.9511,True,,,True,0,0,237,100.0,146,61.603,74,31.224,237,100.0,232,97.89,0/0:820;128/56:128,,,,,,,,,Person sitzt still in Raummitte nach 10 Sekunden Einschwingzeit,wifi-csi-dokumentation/data/raw/2026-07-26_19-35-45_A1_person_sitzt_still_mitte
D4,E0_leerer_raum_D4_alle_RX_TX_MAC_Filter,mixed,contaminated empty run,excluded_contaminated,,,,60.0,59.883,237,3.9577,True,,,True,0,0,108,45.57,0,0.0,49,20.675,62,26.16,43,18.143,0/0:948,,,,,,,,,KONTAMINIERTER MISCHLAUF: Der Raum wurde während der Aufnahme zweimal kurz betreten. Nicht als reine Leerraum-Baseline verwenden. D4 RMS-normalisierte Bewegungsmetrik; RX1-RX4 TX-MAC-Filter aktiv; korrigierte Raumgeometrie; Heatmap nicht bewertet.,wifi-csi-dokumentation/data/raw/2026-07-26_21-05-50_E0_leerer_raum_D4_alle_RX_TX_MAC_Filter
