run,condition,rx,samples,positive_count,positive_pct,raw_mean,raw_p95,smoothed_mean,smoothed_p95,baseline_mean,source_path
E0b,empty,RX1,237,0,0.0,0.022384,0.029155,8e-06,2.6e-05,0.017575,wifi-csi-dokumentation/data/raw/2026-07-26_21-24-17_E0b_sauberer_leerraum_D4_alle_RX_TX_MAC_Filter
E0b,empty,RX2,237,29,12.236,0.06005,0.189209,0.019731,0.051103,0.038238,wifi-csi-dokumentation/data/raw/2026-07-26_21-24-17_E0b_sauberer_leerraum_D4_alle_RX_TX_MAC_Filter
E0b,empty,RX3,237,94,39.662,0.087755,0.211167,0.034659,0.074513,0.048126,wifi-csi-dokumentation/data/raw/2026-07-26_21-24-17_E0b_sauberer_leerraum_D4_alle_RX_TX_MAC_Filter
E0b,empty,RX4,237,201,84.81,0.120833,0.217211,0.062368,0.093415,0.054195,wifi-csi-dokumentation/data/raw/2026-07-26_21-24-17_E0b_sauberer_leerraum_D4_alle_RX_TX_MAC_Filter
E0c,empty,RX1,237,0,0.0,0.026668,0.033158,0.001761,0.011468,0.019411,wifi-csi-dokumentation/data/raw/2026-07-26_21-49-13_E0c_leerraum_Mac_mittig_D4_TX_MAC_Filter
E0c,empty,RX2,237,31,13.08,0.057821,0.188985,0.017917,0.058124,0.036064,wifi-csi-dokumentation/data/raw/2026-07-26_21-49-13_E0c_leerraum_Mac_mittig_D4_TX_MAC_Filter
E0c,empty,RX3,237,96,40.506,0.091808,0.213039,0.036612,0.074884,0.052928,wifi-csi-dokumentation/data/raw/2026-07-26_21-49-13_E0c_leerraum_Mac_mittig_D4_TX_MAC_Filter
E0c,empty,RX4,237,0,0.0,0.027306,0.035707,0.000994,0.002504,0.021271,wifi-csi-dokumentation/data/raw/2026-07-26_21-49-13_E0c_leerraum_Mac_mittig_D4_TX_MAC_Filter
E1,person,RX1,237,0,0.0,0.02309,0.030531,9e-06,2e-06,0.017993,wifi-csi-dokumentation/data/raw/2026-07-26_21-53-24_E1_person_sitzt_still_mittig_Mac_mittig_D4_TX_MAC_Filter
E1,person,RX2,237,19,8.017,0.061373,0.191277,0.017312,0.047595,0.038887,wifi-csi-dokumentation/data/raw/2026-07-26_21-53-24_E1_person_sitzt_still_mittig_Mac_mittig_D4_TX_MAC_Filter
E1,person,RX3,237,171,72.152,0.11071,0.220319,0.051065,0.087552,0.05764,wifi-csi-dokumentation/data/raw/2026-07-26_21-53-24_E1_person_sitzt_still_mittig_Mac_mittig_D4_TX_MAC_Filter
E1,person,RX4,237,92,38.819,0.077402,0.209446,0.036476,0.081441,0.036278,wifi-csi-dokumentation/data/raw/2026-07-26_21-53-24_E1_person_sitzt_still_mittig_Mac_mittig_D4_TX_MAC_Filter
E0d,empty,RX1,237,0,0.0,0.02218,0.030282,0.000261,4.9e-05,0.017424,wifi-csi-dokumentation/data/raw/2026-07-26_22-00-55_E0d_bestaetigung_leerraum_Mac_mittig_D4_TX_MAC_Filter
E0d,empty,RX2,237,198,83.544,0.118014,0.204922,0.059387,0.08931,0.049481,wifi-csi-dokumentation/data/raw/2026-07-26_22-00-55_E0d_bestaetigung_leerraum_Mac_mittig_D4_TX_MAC_Filter
E0d,empty,RX3,237,53,22.363,0.084084,0.209588,0.026769,0.062571,0.042765,wifi-csi-dokumentation/data/raw/2026-07-26_22-00-55_E0d_bestaetigung_leerraum_Mac_mittig_D4_TX_MAC_Filter
E0d,empty,RX4,237,0,0.0,0.024216,0.031135,0.0,0.0,0.019636,wifi-csi-dokumentation/data/raw/2026-07-26_22-00-55_E0d_bestaetigung_leerraum_Mac_mittig_D4_TX_MAC_Filter
E1b,person,RX1,237,0,0.0,0.022488,0.030496,4.4e-05,1.6e-05,0.017616,wifi-csi-dokumentation/data/raw/2026-07-26_22-04-22_E1b_bestaetigung_person_sitzt_still_Mac_mittig_D4_TX_MAC_Filter
E1b,person,RX2,237,172,72.574,0.105325,0.203017,0.052316,0.087866,0.047471,wifi-csi-dokumentation/data/raw/2026-07-26_22-04-22_E1b_bestaetigung_person_sitzt_still_Mac_mittig_D4_TX_MAC_Filter
E1b,person,RX3,237,185,78.059,0.111695,0.218491,0.055114,0.089993,0.053817,wifi-csi-dokumentation/data/raw/2026-07-26_22-04-22_E1b_bestaetigung_person_sitzt_still_Mac_mittig_D4_TX_MAC_Filter
E1b,person,RX4,237,0,0.0,0.02422,0.032674,3.2e-05,1.5e-05,0.019266,wifi-csi-dokumentation/data/raw/2026-07-26_22-04-22_E1b_bestaetigung_person_sitzt_still_Mac_mittig_D4_TX_MAC_Filter
